line_number,level,part_number,description,manufacturer,supplier,quantity,unit,cas_numbers
1,0,PCB-003-IOT,IoT Sensor Board 4-Layer FR4 50x40mm,JLCPCB,PCBFab,1,pcs,
2,1,IC-MCU-ESP32,WiFi+BT MCU ESP32-WROOM-32,Espressif,Mouser,1,pcs,
3,1,SENSOR-BME280,Environmental Sensor Temp/Humid/Press,Bosch,DigiKey,1,pcs,
4,1,SENSOR-LTR303,Ambient Light Sensor I2C,Lite-On,DigiKey,1,pcs,
5,1,IC-REG-3V3,LDO Regulator 3.3V 500mA AP2112,Diodes Inc,DigiKey,1,pcs,
6,1,C-0402-100N,MLCC Capacitor 100nF 16V X7R,Murata,DigiKey,8,pcs,
7,1,C-0402-10U,MLCC Capacitor 10uF 6.3V X5R,Taiyo Yuden,DigiKey,4,pcs,
8,1,C-0402-22P,MLCC Capacitor 22pF 50V C0G,Murata,DigiKey,4,pcs,
9,1,R-0402-10K,Thick Film Resistor 10K 1% 1/16W,Yageo,DigiKey,6,pcs,
10,1,R-0402-4K7,Thick Film Resistor 4.7K 1% 1/16W,Yageo,DigiKey,3,pcs,
11,1,R-0402-0R,Zero Ohm Jumper 0402 1/16W,Panasonic,DigiKey,2,pcs,
12,1,XTAL-40M,Crystal 40MHz 10ppm 2.0x1.6mm,Epson,DigiKey,1,pcs,
13,1,LED-0603-B,Blue LED 0603 20mA 470nm,Wurth,DigiKey,1,pcs,
14,1,LED-0603-G,Green LED 0603 20mA 520nm,Kingbright,Mouser,1,pcs,
15,1,CONN-HEADER-6,Pin Header 1x6 2.54mm Straight,Samtec,DigiKey,2,pcs,
16,1,CONN-UFL,U.FL Coaxial Connector Hirose,Hirose,RFComp,1,pcs,
17,1,ANT-CHIP-2G4,Chip Antenna 2.4GHz 3dBi 3216,Johanson,DigiKey,1,pcs,
18,1,SW-SLIDE,Slide Switch SPDT 0.3A 6VDC,C&K,DigiKey,1,pcs,
19,1,BAT-CR2032-H,CR2032 Battery Holder SMD Horizontal,Keystone,DigiKey,1,pcs,
20,1,IC-EEPROM-32K,I2C EEPROM 32Kbit AT24C32,Microchip,DigiKey,1,pcs,
21,1,FUSE-PTC-500MA,PTC Resettable Fuse 500mA 6V,Bourns,DigiKey,1,pcs,
22,1,CONN-MICRO-USB,Micro-USB B Receptacle SMD,Amphenol,DigiKey,1,pcs,
23,1,IC-OPAMP-LMV321,Op-Amp Single Rail-to-Rail LMV321,TI,DigiKey,1,pcs,
24,1,RES-0402-100K,Thick Film Resistor 100K 1% 1/16W,Yageo,DigiKey,2,pcs,
25,1,C-0402-1U,MLCC Capacitor 1uF 10V X5R,Murata,DigiKey,2,pcs,
26,1,R-0402-1M,Thick Film Resistor 1M 1% 1/16W,Panasonic,DigiKey,1,pcs,
27,1,D-ESD-PRTR5V0,ESD Protection Diode Array 5V,Nexperia,DigiKey,1,pcs,
28,1,Q-MOSFET-2N7002,N-Channel MOSFET 60V 300mA,ON Semi,DigiKey,1,pcs,
29,1,IC-TEMP-MCP9808,Precision Temperature Sensor I2C,Microchip,DigiKey,1,pcs,
30,1,CONN-JST-2,JST PH 2P Connector 2.0mm,JST,DigiKey,1,pcs,
31,1,ENCLOSURE-ABS,ABS Plastic Enclosure 55x45x20mm,Hammond,EnclCo,1,pcs,
